run	randomSeed	numHumans	numZombies	numHunters	gestationPeriod
347	-1537171258	50	15	5	10
349	-1537171165	50	15	10	5
351	-1537156633	50	15	10	50
353	-1537156586	50	20	1	10
355	-1537156492	50	20	5	5
357	-1537154180	50	20	5	50
359	-1537154055	50	20	10	10
361	-1537152383	100	1	1	5
363	-1537150399	100	1	1	50
365	-1537148508	100	1	5	10
367	-1537012272	100	1	10	5
369	-1537011725	100	1	10	50
371	-1537011647	100	5	1	10
373	-1537009537	100	5	5	5
375	-1537009443	100	5	5	50
377	-1537006615	100	5	10	10
379	-1537006506	100	10	1	5
381	-1537000756	100	10	1	50
383	-1536994818	100	10	5	10
385	-1536994693	100	10	10	5
387	-1536993209	100	10	10	50
389	-1536993084	100	15	1	10
391	-1536983474	100	15	5	5
393	-1536981974	100	15	5	50
395	-1536974584	100	15	10	10
397	-1536970881	100	20	1	5
399	-1536968131	100	20	1	50
401	-1536967974	100	20	5	10
403	-1536967834	100	20	10	5
405	-1536967568	100	20	10	50
407	-1536965818	10	1	1	10
409	-1536965443	10	1	5	5
411	-1536965381	10	1	5	50
413	-1536965256	10	1	10	10
415	-1536965146	10	5	1	5
417	-1536950427	10	5	1	50
419	-1536949568	10	5	5	10
421	-1536949474	10	5	10	5
423	-1536939599	10	5	10	50
425	-1536937412	10	10	1	10
427	-1536936162	10	10	5	5
429	-1536936099	10	10	5	50
431	-1536930896	10	10	10	10
433	-1536929911	10	15	1	5
435	-1536919755	10	15	1	50
437	-1536918786	10	15	5	10
439	-1536917021	10	15	10	5
441	-1536914443	10	15	10	50
443	-1536912990	10	20	1	10
445	-1536912255	10	20	5	5
447	-1536910630	10	20	5	50
449	-1536910458	10	20	10	10
451	-1536910427	50	1	1	5
453	-1536909943	50	1	1	50
455	-1536909676	50	1	5	10
457	-1536906973	50	1	10	5
459	-1536906723	50	1	10	50
461	-1536906645	50	5	1	10
463	-1536906113	50	5	5	5
465	-1536892660	50	5	5	50
467	-1536885691	50	5	10	10
469	-1536885035	50	10	1	5
471	-1536881863	50	10	1	50
473	-1536881769	50	10	5	10
475	-1536881269	50	10	10	5
477	-1536878551	50	10	10	50
479	-1536850316	50	15	1	10
481	-1536850222	50	15	5	5
483	-1536850160	50	15	5	50
485	-1536849457	50	15	10	10
487	-1536848972	50	20	1	5
489	-1536848847	50	20	1	50
491	-1536844378	50	20	5	10
493	-1536844316	50	20	10	5
495	-1536843128	50	20	10	50
497	-1536841332	100	1	1	10
499	-1536834894	100	1	5	5
501	-1536833988	100	1	5	50
503	-1536833863	100	1	10	10
505	-1536833332	100	5	1	5
507	-1536833253	100	5	1	50
509	-1536833175	100	5	5	10
511	-1536831332	100	5	10	5
513	-1536831238	100	5	10	50
515	-1536819816	100	10	1	10
517	-1536819691	100	10	5	5
519	-1536819566	100	10	5	50
